Date;Precipitation;MaxTemp;MinTemp;Insolation;Evaporation;AvgTemp;AvgHumidity;AvgWindSpeed
40097;0;30;15.1;5.1;2.4;20.6;85;2.633333
40098;27.3;23.6;15.3;4.6;1.8;18.04;74;1.433333
40099;0;26.9;11.2;10.6;1.6;18.18;67;1.266667
40100;0;30;13.2;7.7;2.8;20.62;74.25;1.533333
40101;1;20.4;14.6;0;4.1;16.02;80.5;2.433333
40102;0.2;17.3;10;0.8;2.1;14.24;66.75;1.966667
40103;0.6;23.8;13;4.5;2.3;18.02;77.75;1.833333
40104;0.2;23.4;15.7;9;1.8;18.58;81.25;2.433333
40105;0;28.3;15.9;9.6;1.8;21.44;76.25;1.533333
40106;0;26.8;17.3;10.6;2.2;20.76;70;2.333333
40107;0;24.8;14;2.7;3.3;18.52;75.75;2.266667
40108;0;23.4;17.5;4.2;2;19.32;78.75;1.9
40109;0.2;29.8;14.9;11.4;1.7;21.56;71.75;1.6
40110;0;24.4;17.5;1;2.7;19.94;91.5;1.3
40111;43.7;21.8;14.9;3.8;1.6;17.92;77.25;2.9
40112;2;24.2;14.9;7.7;0.6;17.78;70.5;2.633333
40113;0;22.8;10;11.8;2.3;16.72;66.5;3.033333
40114;0;28;13.8;11.2;2.8;20.2;72.5;1.366667
40115;0;32;14.7;11.4;2.2;23.24;71;1.133333
40116;0;34;18;8.1;2.7;26.36;51.75;2.1
40117;0;33.2;20.5;4.1;4.2;25.48;70.5;1.8
40118;0;34.8;19.9;11.7;2.6;25.82;67.75;1.3
40119;0;35.6;19.5;10.6;2.7;26.8;65;4.333333
40120;0;27.6;21.4;0;4;23.28;89;3.566667
40121;6.3;30.4;19.3;7.2;1;23.9;83.5;2.766667
40122;1;26.2;21.9;0.2;1.1;23.82;88.75;2.333333
40123;1.7;30.4;21.3;2.5;0.9;25.02;84.5;1.833333
40124;11;25.8;18.7;0;1;21.6;94.25;2.366667
40125;72.1;22.5;16.1;5.2;0.6;18.1;76.5;2.533333
40126;0;28.2;15.7;8.9;1.6;21.94;74.5;1.833333
40127;5.6;22.3;18.5;0;1.8;19.68;75.75;2.533333
40128;0;25.1;17.9;2.4;1.7;21.1;78;3.233333
40129;0;28.6;18.8;6.2;1.8;23.12;82.25;2.7
40130;0;24.2;21.2;0;1.6;22.58;92;2.566667
40131;67.4;23.7;20.5;0;0.5;21.98;90.75;2
40132;0.4;25;19.5;2.3;0.7;21.32;88.5;3
40133;6;26.9;16.9;10.3;1.1;21.62;73.25;2.666667
40134;0;34.2;18.1;11.7;2.5;25.94;67;1.9
40135;25;25.9;20.3;0;3.1;22.46;91.25;1.1
40136;5.7;31.8;19.1;1.2;0.7;24.18;89.5;1.833333
40137;29.4;22.9;18.7;0;1.2;20.12;85.25;2.1
40138;1.9;25.8;19.7;1.9;1.2;22.6;81.5;2.866667
40139;48.4;26.3;18.9;0.2;1.6;23.08;87.25;1.6
