28.5,9.3,72.25,1.47,27.65
0,9.4,77.25,1.37,28.1
0.8,9.1,76.75,1.8,28.45
0,8.4,75.5,1.23,28.7
0,9,79.5,0.8,28.65
1.8,9.1,77.5,0.97,28
0,6.4,82.25,0.87,28.45
4.2,7.3,84.75,1.07,27.85
16.8,6.7,84.75,1.03,27.9
0.2,6.9,80,0.6,27.55
0,5.5,79.75,1.87,28
14.7,6.6,81,0.83,28.55
10,5.8,84.75,1.2,27.65
4.4,4.4,84.25,1.07,27.4
10.4,8.7,77.75,1.47,28.05
0,9.2,73.5,1.77,28.45
0,8.6,77.25,1.43,27.65
0.5,9.7,79,1.7,28.2
8.5,9,80.5,1.4,28
8.8,8.5,81,1.07,27.55
11.2,9.5,77.25,1.4,27.75
3.4,7.9,82.5,1.3,28
17.4,7,85.75,0.97,27.8
6.6,9,81.5,1.5,28.05
8.6,7.4,80,1.2,27.55
0.1,7.8,75,1.77,28.55
0,8.9,81.25,0.73,27.75
5.6,8.7,80.75,0.1,28.15
0,6.2,81.75,0.43,28.85
7.3,4.4,81.75,1.17,27.3
0.2,6.4,88,0.8,27.75
9,8.4,82.5,0.97,27.85
0,5.7,83,0.57,27.8
66.6,3.1,89.5,0.97,26.65
3.4,7.7,80.75,1.43,27.45
14,7.1,83,0.77,26.9
0.6,8.7,80.5,1.57,26.85
1.7,9.1,74.75,1.23,27.85
0,9.1,80.5,0.53,27.9
0,9.5,80.75,0.9,27.75
19.6,6.2,81,1.5,28.05
3,8.3,82,1.03,28.2
5.2,6.6,79.5,0.83,27.85
0.1,9.7,71.75,1.07,27.9
0.4,0.5,82.25,1.27,26.35
0,0,92,0,26
0,8.8,82.75,1.2,27.1
1.1,6.3,78.25,1.87,27.45
2,8.4,77.75,1.17,27.45
3,9.5,73.75,1.8,27.2
9.4,9.2,79.25,1.07,28.35
0.9,4,89.25,0.93,27.3
12.8,9.8,75.75,1.57,26.95
7.8,7.5,83.25,1.57,27.35
31.5,4.8,83.25,1.03,26.9
10.9,5.7,82,0.17,27.15
0,7.3,84,1.63,26.75
0.5,9,72.25,2.1,27.25
0,8.1,81.5,0.83,27.15
20.5,7.6,80.75,1.03,27.3
4.2,8.5,82.5,1.2,27.05
1.6,9.5,78,1.47,27.6
0,7.5,81.5,1.6,27.55
0,9.8,74.5,1.53,27.55
0,7.5,78.25,1.43,27.65
1.7,7.3,78.75,1.47,28.2
0,8.4,79.25,1.3,28.4
48.5,9,76.5,2.2,27.5
0,7.8,80,2.07,27.85
24,7.6,82.25,1.43,28.2
36,7.2,84.25,1.97,27.85
0,9.5,76.25,1.63,28.2
0,9.1,73,1.37,28.3
0,7,80.25,0.7,28.35
4.3,7.1,81.25,1.2,27.8
0,7.6,79,1.23,28.25
0,7.9,78.75,0.93,28.45
0,8.5,77.25,1.97,28.85
0.5,7.7,83.25,0.6,28.8
18,5.7,84.25,1.3,27.95
4.9,6.9,82.25,1.37,27.9
0,9.2,79.75,1.57,28.15
0.3,7.7,83.25,1.43,28.65
9.6,7.6,82.25,1.37,28.4
3.7,9,75,2.17,27.95
0,7.4,85.5,1.1,28.05
23.9,7.9,83.25,1.6,28.45
13,8.8,80.25,1.53,28.55
13.2,8.4,78.75,1.23,27.75
0,6.3,77.5,1.17,29
0,4.4,81,1.03,29
10.2,4.8,88.75,1.13,27.9
10.2,4.9,85.75,1.87,27.7
23.5,5.4,80,1.33,27.65
0,4.9,85.25,0.7,27.8
0,2,82.75,1.33,28.85
0,5.3,76.25,1.77,28.45
0,7.2,77.25,1.03,28.25
0,6.3,73,1.87,28.45
1.3,4.5,85.5,2.2,28.05
14,5.4,80.75,0.6,28
0.1,5.7,78.5,1.77,28.35
0,7.6,80.25,1.13,28.55
1.6,7.9,80.75,1.17,28.65
2.5,7.3,79.75,1.23,28.6
0.1,4.5,81.75,1.43,28.95
0,8,75.5,2.6,28.45
0.6,6.4,72.25,2.13,28.55
0,7,80,1.23,27.8
2.9,6.4,78.25,1.97,28.7
8.6,5,74,2.4,28.25
0,6.7,69.75,3.27,27.85
0,6.8,72.25,2.1,28.75
0,2.6,76.75,2.07,28.15
0.8,4.7,81,1.37,29.1
1,6.5,85.5,1.27,28.35
30.8,7.1,78.25,1.8,27.6
0.1,5.7,78.75,0.73,27.35
0.6,5.9,90.75,1.03,27.4
5,6.9,78.5,1.1,27.8
0,5.4,79.75,1.7,27.95
4.2,6.7,92.25,1.7,28.05
27.8,4.3,92,0.77,27.9
8.4,6.8,86.5,1.1,27.65
3,6.2,79.25,1.23,28.2
0,7.2,78.75,2.53,28.2
0.4,8.3,72,2.43,28.15
0,8.7,71.25,1.63,28.7
0,7.2,82,1.57,28.15
7,5.5,85.75,1.3,27.55
9.5,5.7,85,0.8,28.05
0.8,7.4,77.75,1.13,28.15
0,6.4,81.25,1.37,28.2
17.2,8.1,75.5,1.63,28
0,4.9,85,1.2,28.2
8.2,6,81.25,1.63,28.3
3.2,5.8,80.75,2.1,27.95
2,7.9,75,2.4,28.35
0,5.3,71,2.1,27.95
0,4.5,76,1.63,28.15
0.1,2.5,72.5,1.47,28.1
0.2,3.5,81,1.3,27.5
6.3,6.6,81.5,1.97,27.45
3.5,8.6,70.25,1.97,28.2
0,9,72.25,1.83,28.5
0,6.9,79.25,1.83,29.1
5.7,6.1,74,1.73,28.45
0.1,7.7,82.75,1.63,28.2
3.6,5.7,78,1.93,28.6
0,6.6,84,1.3,29.1
0.2,3,84.75,1.73,28.25
9.2,5.1,85,0.93,27.9
3.1,7.7,79.5,1.53,28.5
0,5,78,2.03,28.3
0.6,6.3,72.25,2.3,28.2
0,8.5,71.25,1.93,28.1
0,6,73.75,1.67,28.45
0,3.8,77.75,1.33,27.85
0,2.5,92.75,1.07,28.35
24.2,4.2,88.75,0.57,26.95
56.5,4.2,83,0.77,27.35
1.5,6.4,87.25,1.03,27.6
13.8,9.3,81.75,1.9,27.9
12.8,7,78.5,1.73,28.15
2.5,4.9,80.25,0.7,28
0.6,5.4,85.25,1.87,28.6
9.8,7.7,77.5,1.7,28.4
0.2,5.8,78.75,1.33,28.3
0.9,8,75,1.7,28.35
0,7.1,72.25,1.63,28.6
0,6.9,77.25,1.2,27.95
2.2,7,75.5,1.53,28.6
0,9.2,82.75,1.23,28.6
17.6,8.9,79.25,1.7,27.65
6,3.1,85.5,1.27,27.7
3.8,8,79,1.1,27.95
0.4,8.2,78.75,0.8,28.6
1.7,3.8,85.5,0.87,28.3
27.7,7.1,88.25,1.3,27.45
14.4,10.2,82,1.33,27.75
7.2,9.4,82.5,1.3,28.3
2.4,6.9,82,0.93,28.2
2.6,3.8,86,0.87,28
0,4,88.25,0.97,28
1.9,6.5,77.75,1.9,28.45
0,9.3,83.75,1.43,28.25
2.4,8.1,80.75,1.17,27.75
0,8.1,76.75,1.4,27.85
0,10.1,77.25,1.43,28.8
0,9.6,79.25,1.37,28.75
0.3,9.3,67.75,1.9,28.85
0,10.1,82.25,1.1,28.15
9,7.1,95.5,1.33,27.9
47.6,8.9,86,0.93,27.45
4.6,8,82.75,0.93,27.8
13.6,5.7,81.75,1.23,27.65
0.1,5.9,90.5,0.97,28.3
20.4,7.7,74,1.73,28
0.4,9.4,70.5,2.07,28.45
0,9.1,74,2.17,28.35
0.6,7.6,78,1.83,28.1
0,7.5,75.75,2.03,28.7
2.6,8.3,90,1.6,28.55
40,0.4,92.25,0.8,27.9
7.3,4.6,86.25,1.1,28.15
32.6,2,88,0.57,25.75
13.2,0.9,88.25,0.6,27.35
57.8,1.4,94.25,0.6,25.85
17.8,4.9,88.5,0.87,27.6
1.8,9.1,79.5,1.87,29
4.4,3.8,92.75,1.7,28.05
15,6,82,0.83,27.3
0.7,7.7,82.25,1.23,28.05
4.8,6.6,85.5,1.93,28.45
2.7,9.2,72.25,2.03,28.45
0,8.9,74.25,1.27,27.9
0,9.4,76,1.4,28.2
0,6.1,78,1.67,28.65
3.5,8,76.5,1.83,27.85
0,5.3,85.25,0.37,27.85
13.6,9.5,80,1.4,27.7
5.9,7.1,88,0.7,27.4
18.8,6.6,84,1.3,27.55
0.2,5.7,86.75,0.4,27.9
7.1,2.7,86,1.1,27
26.8,3,88.5,0.33,26.4
9.8,6.2,81.25,1.27,27.6
75.5,0,92.75,0,24.8
27.2,6.2,87.5,0.87,27.1
21.6,6.1,85.25,1.13,28.55
3.2,4.4,87.75,0.8,27.2
19.6,5.1,88.75,0.6,27.25
59.4,8.3,75.5,2.43,28.3
0.2,8.5,77.25,1.63,29
0,7.2,83.25,1.27,28.2
4.6,5,88.25,0.33,28
13.8,7.7,83.25,0.93,28.1
10.3,10.1,78,1.4,28.15
1,8.2,83.75,1.5,28.4
45,1.8,89.25,0.67,27.75
17.9,0,91.25,0.1,24.3
1.3,3.8,82,1.27,26.7
0,0,90,0.43,26.3
3.2,2,83.75,1.73,27.3
1.6,2.8,91,0.9,26.3
9.4,3.6,86.5,1.2,26.75
6.4,4.9,87,0.8,27.15
15.4,0.8,94.75,0.23,26.65
24.6,3.6,92.5,0.67,26.75
53.8,2,95.5,0.33,26.35
67.5,3.9,90.75,0.53,26.95
16.5,8.2,84.25,0.83,27.35
61.9,4.2,91.25,0.33,26.65
2.8,6.4,91,0.87,28.05
11.7,3.4,94,0.37,27.35
38.6,7.3,88,0.97,27.7
8.8,8.3,84.75,2.7,28.45
8.8,4.2,90.75,1.03,26.95
19.8,2.6,91.5,1.1,27.35
17.2,0,93.75,0.33,25.55
7,1.7,89.75,0.6,27.2
5.4,2.1,95,1.07,26.95
7,0.8,92.25,0.4,26.65
20,5.7,86.25,0.23,27.55
37,0.9,92.75,0.83,26.55
